attribute,country,value,entity_code,income_group,econ_region,geo_region
"Quality of the education system, 1-7 (best)",Armenia,3.8472931,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Armenia,4.727828,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Armenia,4.2543116,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Armenia,62.0,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Armenia,10.125942,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Armenia,59.859814,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Australia,5.3778987,AUS,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %",Australia,97.03283,AUS,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Australia,5.0677247,AUS,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Australia,4.794426,AUS,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Australia,6.0069165,AUS,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %",Australia,88.238655,AUS,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Australia,30.442112,AUS,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Australia,88.3041,AUS,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Austria,4.7635794,AUT,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Austria,98.1,AUT,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Austria,4.2285304,AUT,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Austria,4.5701456,AUT,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Austria,5.038675,AUT,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Austria,84.32333,AUT,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Austria,29.377598,AUT,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Austria,149.98776,AUT,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Azerbaijan,4.194073,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Azerbaijan,94.14265,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Azerbaijan,4.400403,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Azerbaijan,4.167953,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Azerbaijan,4.8886757,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Azerbaijan,78.2,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Azerbaijan,18.582935,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Azerbaijan,34.255142,AZE,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Bahrain,4.748346,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Bahrain,96.4285,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Bahrain,4.639191,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Bahrain,4.7805176,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Bahrain,4.9606,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Bahrain,97.99998,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Bahrain,16.819572,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Bahrain,112.77017,BHR,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Bangladesh,3.104135,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Primary education enrollment, net %",Bangladesh,90.50861,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of the education system, 1-7 (best)",Bangladesh,3.3962862,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of math and science education, 1-7 (best)",Bangladesh,3.1748347,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Internet access in schools, 1-7 (best)",Bangladesh,3.2651865,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Individuals using Internet, %",Bangladesh,18.246939,BGD,Lower middle income,Emerging and Developing Asia,South Asia
Fixed broadband Internet subscriptions/100 pop.,Bangladesh,3.7666237,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Int’l Internet bandwidth, kb/s per user",Bangladesh,9.154094,BGD,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of primary education, 1-7 (best)",Belgium,5.705981,BEL,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Belgium,98.94778,BEL,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Belgium,5.087828,BEL,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Belgium,5.562316,BEL,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Belgium,4.939133,BEL,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Belgium,86.5165,BEL,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Belgium,38.006084,BEL,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Belgium,189.25406,BEL,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Benin,3.007389,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Benin,95.86662,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Benin,2.572311,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Benin,3.621057,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Benin,2.8626726,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Benin,11.994048,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Benin,0.81471103,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Benin,1.655591,BEN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Bhutan,4.7504516,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Primary education enrollment, net %",Bhutan,85.5824,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of the education system, 1-7 (best)",Bhutan,4.5003605,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of math and science education, 1-7 (best)",Bhutan,4.3788037,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Internet access in schools, 1-7 (best)",Bhutan,4.116091,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Individuals using Internet, %",Bhutan,41.772644,BTN,Lower middle income,Emerging and Developing Asia,South Asia
Fixed broadband Internet subscriptions/100 pop.,Bhutan,3.9408867,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Int’l Internet bandwidth, kb/s per user",Bhutan,18.077015,BTN,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of primary education, 1-7 (best)",Bosnia and Herzegovina,3.646984,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Bosnia and Herzegovina,97.527,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Bosnia and Herzegovina,2.374163,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Bosnia and Herzegovina,3.440474,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Bosnia and Herzegovina,3.880011,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Bosnia and Herzegovina,69.33101,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Bosnia and Herzegovina,17.368975,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Bosnia and Herzegovina,98.45196,BIH,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Botswana,3.8157754,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Botswana,91.02086,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Botswana,3.5896094,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Botswana,3.7302394,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Botswana,3.5949898,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Botswana,39.363,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Botswana,2.8466418,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Botswana,7.8799205,BWA,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Brazil,2.595792,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Brazil,92.69713,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Brazil,2.586426,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Brazil,2.6212912,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Brazil,3.6955285,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Brazil,59.682747,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Brazil,12.974098,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Brazil,66.18079,BRA,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Brunei Darussalam,4.9583735,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Brunei Darussalam,97.3,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Brunei Darussalam,4.430487,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Brunei Darussalam,4.71941,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Brunei Darussalam,4.931741,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Brunei Darussalam,75.0,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Brunei Darussalam,8.325534,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Brunei Darussalam,76.22595,BRN,High income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Bulgaria,3.905174,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Bulgaria,93.30484,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Bulgaria,3.3877168,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Bulgaria,3.8154252,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Bulgaria,4.452406,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Bulgaria,59.825546,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Bulgaria,23.253334,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Bulgaria,175.86919,BGR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Burundi,2.999982,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Burundi,94.14828,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Burundi,3.0590608,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Burundi,3.6798785,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Burundi,2.4971004,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Burundi,5.173627,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Burundi,0.035372693,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Burundi,6.0832143,BDI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Cambodia,3.0188632,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Cambodia,94.92511,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Cambodia,3.4991045,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Cambodia,3.139636,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Cambodia,3.5948973,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Cambodia,25.570686,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Cambodia,0.60670424,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Cambodia,23.57321,KHM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Cameroon,4.0713973,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Cameroon,91.98906,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Cameroon,3.4657915,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Cameroon,4.2920547,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Cameroon,3.6790442,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Cameroon,25.0,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Cameroon,0.19173977,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Cameroon,2.5490787,CMR,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Canada,5.574162,CAN,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Canada,99.45674,CAN,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Canada,5.391735,CAN,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Canada,5.339733,CAN,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Canada,5.8056307,CAN,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Canada,89.84,CAN,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Canada,37.26995,CAN,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Canada,141.88452,CAN,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Cape Verde,3.9807057,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Cape Verde,97.12462,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Cape Verde,3.956954,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Cape Verde,3.899423,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Cape Verde,4.2590427,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Cape Verde,48.165276,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Cape Verde,3.030049,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Cape Verde,23.35675,CPV,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Chad,2.4837544,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Chad,79.08415,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Chad,2.4861732,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Chad,2.70467,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Chad,2.127629,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Chad,5.0,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Chad,0.07473812,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Chad,3.7618902,TCD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Chile,3.204156,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Chile,94.32461,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Chile,3.3916261,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Chile,3.3946016,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Chile,4.4313617,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Chile,66.01,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Chile,15.973937,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Chile,175.55576,CHL,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",China,4.671733,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",China,100.0,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",China,4.516548,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",China,4.475963,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",China,4.584232,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",China,53.2,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,China,22.896719,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",China,14.698505,CHN,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Colombia,3.4364138,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Colombia,90.60457,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Colombia,3.4352057,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Colombia,3.387086,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Colombia,4.106666,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Colombia,58.136494,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Colombia,11.797759,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Colombia,150.87088,COL,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)","Congo, Democratic Rep.",3.3379064,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %","Congo, Democratic Rep.",87.0,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)","Congo, Democratic Rep.",2.859102,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)","Congo, Democratic Rep.",3.4035487,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)","Congo, Democratic Rep.",3.0630317,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %","Congo, Democratic Rep.",8.121949,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,"Congo, Democratic Rep.",0.010968294,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user","Congo, Democratic Rep.",0.18511888,COD,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Costa Rica,4.721507,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Costa Rica,96.4191,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Costa Rica,4.528458,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Costa Rica,4.403095,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Costa Rica,4.8780813,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Costa Rica,66.02871,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Costa Rica,11.592191,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Costa Rica,68.44888,CRI,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Croatia,3.998573,HRV,High income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Croatia,98.36509,HRV,High income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Croatia,2.9079733,HRV,High income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Croatia,4.302863,HRV,High income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Croatia,3.4429126,HRV,High income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Croatia,72.6973,HRV,High income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Croatia,24.618032,HRV,High income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Croatia,118.95258,HRV,High income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Cyprus,4.2090216,CYP,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Cyprus,97.36852,CYP,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Cyprus,3.948913,CYP,High income,Advanced economies,Europe and North America
